SellerG,Suburb,Address,Rooms,Type,Price,Method,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Regionname,Propertycount
Nelson,Airport West,1/43 Cameron St,3,u,752000,S,13.5,3042,3,1,1,265,130,1993,Moonee Valley,Western Metropolitan,3464
Barry,Airport West,145a Victory Rd,2,u,440000,S,13.5,3042,2,1,1,192,,,Moonee Valley,Western Metropolitan,3464
Propertyau,Airport West,241 Parer Rd,5,h,755000,PI,13.5,3042,3,2,2,596,,,Moonee Valley,Western Metropolitan,3464
Brad,Airport West,2/40 Earl St,3,t,700000,PI,13.5,3042,3,2,2,165,133,2009,Moonee Valley,Western Metropolitan,3464
Barry,Airport West,180 Parer Rd,3,h,830000,S,13.5,3042,3,1,2,971,113,1960,Moonee Valley,Western Metropolitan,3464
Barry,Airport West,4/54 Hawker St,2,u,462500,S,13.5,3042,2,1,1,164,,2003,Moonee Valley,Western Metropolitan,3464
Barry,Airport West,43 Hillside Gr,3,h,670000,SP,13.5,3042,3,2,2,657,,,Moonee Valley,Western Metropolitan,3464
Barry,Airport West,174 Parer Rd,2,h,675000,S,13.5,3042,2,1,1,612,100,1975,Moonee Valley,Western Metropolitan,3464
Nelson,Airport West,138 Victory Rd,3,h,1042000,S,13.5,3042,3,2,5,612,174,1950,Moonee Valley,Western Metropolitan,3464
McDonald,Airport West,75 King St,3,h,910000,S,13.5,3042,3,1,1,775,,,Moonee Valley,Western Metropolitan,3464
Brad,Airport West,6 Kittyhawk St,4,h,773000,S,13.5,3042,5,3,4,531,309,1980,Moonee Valley,Western Metropolitan,3464
Barry,Airport West,478 Fullarton Rd,3,h,810000,PI,13.5,3042,3,3,2,555,192,1980,Moonee Valley,Western Metropolitan,3464
Rendina,Airport West,144 Marshall Rd,3,h,715000,S,13.5,3042,3,2,2,422,126,1995,Moonee Valley,Western Metropolitan,3464
Nelson,Airport West,106 Parer Rd,3,h,790000,S,13.5,3042,3,1,3,614,,,Moonee Valley,Western Metropolitan,3464
Nelson,Airport West,3/7 South Rd,3,t,540000,SP,13.5,3042,2,2,1,161,101,2010,Moonee Valley,Western Metropolitan,3464
Barry,Airport West,37 North St,3,t,825000,SP,13.5,3042,3,2,1,293,102,1960,Moonee Valley,Western Metropolitan,3464
Barry,Airport West,10 Hilbert Rd,3,h,685000,S,13.5,3042,3,1,1,579,113,1975,Moonee Valley,Western Metropolitan,3464
Barry,Airport West,110 Halsey Rd,3,h,805000,S,13.5,3042,3,1,1,623,,,Moonee Valley,Western Metropolitan,3464
Nelson,Airport West,2/13 North St,2,u,510000,S,13.5,3042,2,1,1,141,76,,Moonee Valley,Western Metropolitan,3464
Nelson,Airport West,105a Victory Rd,3,h,612000,S,13.5,3042,3,2,1,212,,,Moonee Valley,Western Metropolitan,3464
Brad,Airport West,117 Marshall Rd,3,h,662000,S,13.5,3042,3,1,2,612,,,Moonee Valley,Western Metropolitan,3464
Nelson,Airport West,34 Moorna Dr,4,h,978000,S,13.5,3042,4,3,2,532,,,Moonee Valley,Western Metropolitan,3464
Nelson,Airport West,33 North St,3,h,720000,PI,13.5,3042,3,1,1,585,,,Moonee Valley,Western Metropolitan,3464
Prof.,Airport West,49 Roberts Rd,4,h,765000,S,13.5,3042,4,1,2,509,,,Moonee Valley,Western Metropolitan,3464
Harcourts,Airport West,85 Roberts Rd,4,h,900000,S,13.5,3042,4,2,3,628,146,1975,Moonee Valley,Western Metropolitan,3464
hockingstuart,Albert Park,105 Kerferd Rd,2,h,1275000,S,3.3,3206,2,1,0,120,82,1900,Port Phillip,Southern Metropolitan,3280
Thomson,Albert Park,85 Richardson St,2,h,1455000,S,3.3,3206,2,1,0,159,,,Port Phillip,Southern Metropolitan,3280
Buxton,Albert Park,112 Beaconsfield Pde,3,h,2850000,PI,3.3,3206,3,2,0,211,198,1890,Port Phillip,Southern Metropolitan,3280
Greg,Albert Park,94 Graham St,3,h,1850000,S,3.3,3206,3,2,0,128,133,1890,Port Phillip,Southern Metropolitan,3280
RT,Albert Park,396 Montague St,2,h,1436000,S,3.3,3206,2,1,0,130,81,1900,Port Phillip,Southern Metropolitan,3280
Marshall,Albert Park,75 Graham St,2,h,1110000,S,3.3,3206,1,1,0,147,,1900,Port Phillip,Southern Metropolitan,3280
Sotheby's,Albert Park,54 Brooke St,2,h,1550000,S,3.3,3206,2,1,1,167,,,Port Phillip,Southern Metropolitan,3280
Marshall,Albert Park,104 Richardson St,4,h,2300000,S,3.3,3206,4,2,1,153,180,1880,Port Phillip,Southern Metropolitan,3280
Marshall,Albert Park,4a Mills St,3,t,1550000,VB,3.3,3206,3,2,2,718,,,Port Phillip,Southern Metropolitan,3280
Greg,Albert Park,1 Moubray St,3,h,1800000,VB,3.3,3206,3,2,1,132,159,1996,Port Phillip,Southern Metropolitan,3280
Greg,Albert Park,29 Faussett St,2,h,2120000,S,3.3,3206,2,1,1,199,107,1900,Port Phillip,Southern Metropolitan,3280
Cayzer,Albert Park,3 Herbert St,3,h,1800000,VB,3.3,3206,3,1,1,253,,,Port Phillip,Southern Metropolitan,3280
Marshall,Albert Park,24 Kerferd Pl,3,h,1800000,S,3.3,3206,3,2,1,90,122,1900,Port Phillip,Southern Metropolitan,3280
Greg,Albert Park,44 Draper St,2,h,1810000,PI,3.3,3206,2,1,0,240,,,Port Phillip,Southern Metropolitan,3280
Cayzer,Albert Park,2 Dundas Pl,3,h,2615000,S,3.3,3206,3,2,1,177,181,1880,Port Phillip,Southern Metropolitan,3280
Greg,Albert Park,23 Finlay St,5,h,2100000,S,3.3,3206,5,2,1,237,,,Port Phillip,Southern Metropolitan,3280
hockingstuart,Albert Park,31 Richardson St,3,h,1300000,S,3.3,3206,3,1,0,129,,,Port Phillip,Southern Metropolitan,3280
Greg,Albert Park,4a Gatehouse La,3,h,1370000,S,3.3,3206,3,2,2,0,85,2000,Port Phillip,Southern Metropolitan,3280
Cayzer,Albert Park,60 Brooke St,2,h,1000000,S,3.3,3206,2,1,0,288,,,Port Phillip,Southern Metropolitan,3280
Greg,Albert Park,70 Barrett St,3,h,2575000,S,3.3,3206,3,2,1,228,,,Port Phillip,Southern Metropolitan,3280
Greg,Albert Park,65 Graham St,2,h,1322500,S,3.3,3206,2,1,0,149,98,1890,Port Phillip,Southern Metropolitan,3280
Greg,Albert Park,364 Montague St,2,h,1562500,S,3.3,3206,2,1,0,141,83,1890,Port Phillip,Southern Metropolitan,3280
RT,Albert Park,86 Mills St,3,h,2000000,VB,3.3,3206,3,2,1,211,147,1900,Port Phillip,Southern Metropolitan,3280
Greg,Albert Park,129 Kerferd Rd,3,h,1900000,S,3.3,3206,3,1,0,209,,1900,Port Phillip,Southern Metropolitan,3280
Greg,Albert Park,97 Page St,3,h,3010000,S,3.3,3206,3,2,0,147,146,1890,Port Phillip,Southern Metropolitan,3280
Cayzer,Albert Park,55 Withers St,4,h,2800000,VB,3.3,3206,4,3,1,327,254,1910,Port Phillip,Southern Metropolitan,3280
Greg,Albert Park,10/140 Kerferd Rd,2,u,647000,S,3.3,3206,2,1,1,0,,,Port Phillip,Southern Metropolitan,3280
Marshall,Albert Park,55 Merton St,3,h,2100000,SP,3.3,3206,2,1,1,120,123,1900,Port Phillip,Southern Metropolitan,3280
Marshall,Albert Park,49 Page St,3,h,2000000,PI,3.3,3206,3,1,1,238,131,1890,Port Phillip,Southern Metropolitan,3280
Marshall,Albert Park,13/52 Moubray St,1,u,442500,S,3.3,3206,1,1,0,0,34,1970,Port Phillip,Southern Metropolitan,3280
Marshall,Albert Park,115 Page St,4,h,4735000,S,3.3,3206,4,2,1,330,207,1910,Port Phillip,Southern Metropolitan,3280
Greg,Albert Park,32 Page St,2,h,1340000,S,3.3,3206,2,1,0,136,,,Port Phillip,Southern Metropolitan,3280
hockingstuart,Albert Park,34 Richardson St,3,h,1801000,S,3.3,3206,3,1,1,202,,,Port Phillip,Southern Metropolitan,3280
Chisholm,Albert Park,2b Dundas Pl,3,h,1532000,S,3.3,3206,3,3,1,0,,,Port Phillip,Southern Metropolitan,3280
Greg,Albert Park,22 Greig St,3,h,3755000,S,3.3,3206,3,2,2,325,,,Port Phillip,Southern Metropolitan,3280
Greg,Albert Park,27 Barrett St,4,h,2140000,S,3.3,3206,3,2,1,183,145,1880,Port Phillip,Southern Metropolitan,3280
Marshall,Albert Park,44 Greig St,2,h,1750000,S,3.3,3206,2,1,1,162,,,Port Phillip,Southern Metropolitan,3280
Greg,Albert Park,6 Brooke St,2,h,980000,S,3.3,3206,2,1,0,79,68,1890,Port Phillip,Southern Metropolitan,3280
hockingstuart,Albert Park,227a Danks St,3,h,2030000,S,3.3,3206,3,2,0,152,,,Port Phillip,Southern Metropolitan,3280
Marshall,Albert Park,17 Reed St,3,h,1740000,PI,3.3,3206,3,2,2,147,134,1890,Port Phillip,Southern Metropolitan,3280
Buxton,Albert Park,74 Bridport St,3,h,2800000,VB,3.3,3206,3,3,1,0,,,Port Phillip,Southern Metropolitan,3280
Marshall,Albert Park,9 Durham St,1,h,985000,S,3.3,3206,1,1,0,81,54,1900,Port Phillip,Southern Metropolitan,3280
Brace,Alphington,6 Smith St,4,h,2000000,S,6.4,3078,3,2,4,853,263,1930,Darebin,Northern Metropolitan,2211
Jellis,Alphington,5/6 Yarralea St,3,h,1110000,S,6.4,3078,3,2,2,208,,2013,Yarra,Northern Metropolitan,2211
Jellis,Alphington,136A Fulham Rd,3,h,1492000,S,6.4,3078,3,2,2,411,,,Darebin,Northern Metropolitan,2211
Collins,Alphington,44 Shiers St,4,h,1717500,S,6.4,3078,4,2,1,599,203,1925,Darebin,Northern Metropolitan,2211
Nelson,Alphington,83 Fulham Rd,5,h,2840000,S,6.4,3078,5,4,4,809,165,1910,Darebin,Northern Metropolitan,2211
Miles,Alphington,3/19 Harker St,2,u,525500,S,6.4,3078,2,1,1,88,60,1960,Darebin,Northern Metropolitan,2211
Miles,Alphington,4/2 Miller St,2,t,805000,S,6.4,3078,2,2,3,155,140,2004,Darebin,Northern Metropolitan,2211
McGrath,Alphington,2/5 Yarana Rd,2,u,465000,S,6.4,3078,2,1,1,0,,,Darebin,Northern Metropolitan,2211
hockingstuart,Alphington,815 Heidelberg Rd,3,h,2000000,PI,6.4,3078,3,3,2,686,,,Darebin,Northern Metropolitan,2211
Nelson,Alphington,44 Naroon Rd,3,h,1540000,S,6.4,3078,3,1,2,592,,,Darebin,Northern Metropolitan,2211
Nelson,Alphington,3/98 Grange Rd,2,u,820000,S,6.4,3078,2,1,1,183,,,Darebin,Northern Metropolitan,2211
Nelson,Alphington,10 Bennett St,4,h,1830000,S,6.4,3078,4,2,2,606,112,1970,Darebin,Northern Metropolitan,2211
Nelson,Alphington,38 Bennett St,4,h,2100000,S,6.4,3078,4,2,2,575,271,2008,Darebin,Northern Metropolitan,2211
hockingstuart,Alphington,2c Hamilton St,3,h,865000,SP,6.4,3078,3,1,1,180,131,2010,Darebin,Northern Metropolitan,2211
Nelson,Alphington,5/5 Yarana Rd,2,u,390000,VB,6.4,3078,2,1,1,0,60,1960,Darebin,Northern Metropolitan,2211
Brace,Alphington,7/7 Chandler Hwy,2,t,650000,SP,6.4,3078,0,1,0,0,,,Yarra,Northern Metropolitan,2211
Love,Alphington,1/14 Fulham Rd,2,u,512000,S,6.4,3078,2,1,1,0,61,1965,Darebin,Northern Metropolitan,2211
Barry,Alphington,22 Lowther St,3,h,1165000,S,6.4,3078,3,1,2,979,,,Yarra,Northern Metropolitan,2211
McGrath,Alphington,11 Margaret Gr,4,h,1900000,SP,6.4,3078,4,2,2,556,272,1930,Yarra,Northern Metropolitan,2211
McGrath,Alphington,6 Naroon Rd,3,h,1485000,SP,6.4,3078,3,0,0,597,,,Darebin,Northern Metropolitan,2211
Jellis,Alphington,42 Shiers St,4,h,1950000,S,6.4,3078,4,2,3,589,210,1920,Darebin,Northern Metropolitan,2211
Greg,Altona,158 Queen St,3,h,520000,VB,13.8,3018,3,2,1,352,242,2015,Hobsons Bay,Western Metropolitan,5301
Greg,Altona,59 Bracken Gr,5,h,1525000,S,13.8,3018,5,3,3,729,268,2005,Hobsons Bay,Western Metropolitan,5301
hockingstuart,Altona,1/123 Blyth St,2,t,720000,S,13.8,3018,2,1,2,292,125,2013,Hobsons Bay,Western Metropolitan,5301
Barlow,Altona,4 Blyth St,3,h,1120000,S,13.8,3018,3,1,2,506,120,1930,Hobsons Bay,Western Metropolitan,5301
Sweeney,Altona,20 Linnet St,4,h,780000,PI,13.8,3018,4,1,4,655,,,Hobsons Bay,Western Metropolitan,5301
Greg,Altona,29 Rose St,4,h,1780000,SP,13.8,3018,4,3,6,1057,220,1962,Hobsons Bay,Western Metropolitan,5301
Barlow,Altona,1/170 Blyth St,3,u,630000,S,13.8,3018,2,1,2,311,94,1955,Hobsons Bay,Western Metropolitan,5301
hockingstuart,Altona,5/35 Grieve Pde,2,u,406000,SP,13.8,3018,2,1,1,65,,,Hobsons Bay,Western Metropolitan,5301
Greg,Altona,156 Maidstone St,3,h,660000,VB,13.8,3018,3,1,1,602,123,1955,Hobsons Bay,Western Metropolitan,5301
Greg,Altona,11 Keeshan Ct,3,h,683500,S,13.8,3018,3,1,1,530,,,Hobsons Bay,Western Metropolitan,5301
Barlow,Altona,1/136 Queen St,2,u,580000,S,13.8,3018,2,1,1,225,93,1988,Hobsons Bay,Western Metropolitan,5301
hockingstuart,Altona,173 Queen St,3,h,1335000,S,13.8,3018,3,1,4,777,22,1953,Hobsons Bay,Western Metropolitan,5301
hockingstuart,Altona,1/265 Queen St,3,t,800000,SP,13.8,3018,3,2,2,280,,1997,Hobsons Bay,Western Metropolitan,5301
Village,Altona,3/26 Grieve Pde,2,u,510000,S,13.8,3018,2,1,1,127,76,1990,Hobsons Bay,Western Metropolitan,5301
Barlow,Altona,261 Queen St,4,h,1070000,S,13.8,3018,4,2,2,695,,,Hobsons Bay,Western Metropolitan,5301
hockingstuart,Altona,4/5 Rose St,2,u,425000,S,13.8,3018,2,1,2,115,57,1980,Hobsons Bay,Western Metropolitan,5301
Jas,Altona,1/60 David St,3,u,605000,S,13.8,3018,3,2,2,230,,,Hobsons Bay,Western Metropolitan,5301
hockingstuart,Altona,1A Merritt Ct,3,t,705000,S,13.8,3018,3,2,2,197,152,,Hobsons Bay,Western Metropolitan,5301
Greg,Altona,4/31 Millers Rd,2,u,391000,SP,13.8,3018,2,1,1,0,65,1965,Hobsons Bay,Western Metropolitan,5301
hockingstuart,Altona,111/112 Pier St,2,u,440000,SP,13.8,3018,2,1,1,0,,,Hobsons Bay,Western Metropolitan,5301
hockingstuart,Altona,24 Wren St,4,h,845000,S,13.8,3018,4,1,2,745,130,1950,Hobsons Bay,Western Metropolitan,5301
Gunn&Co,Altona,1/152 Blyth St,3,t,743000,SP,13.8,3018,3,2,2,211,176,,Hobsons Bay,Western Metropolitan,5301
Barlow,Altona,4/57 Blyth St,3,u,730000,SP,13.8,3018,3,2,1,69,141,2014,Hobsons Bay,Western Metropolitan,5301
Sweeney,Altona,164 Maidstone St,3,h,635000,S,13.8,3018,3,1,4,625,,1960,Hobsons Bay,Western Metropolitan,5301
hockingstuart,Altona,3/25 Rayner St,2,u,620000,SP,13.8,3018,2,1,1,168,,,Hobsons Bay,Western Metropolitan,5301
Burnham,Altona,3/46 Sargood St,2,u,447000,S,13.8,3018,2,1,1,137,77,1990,Hobsons Bay,Western Metropolitan,5301
Barlow,Altona,1/57 Blyth St,3,u,730000,SP,13.8,3018,3,2,1,70,,,Hobsons Bay,Western Metropolitan,5301
hockingstuart,Altona,22 Fenfield St,3,h,678000,S,13.8,3018,3,1,2,606,87,1950,Hobsons Bay,Western Metropolitan,5301
Biggin,Altona,5/8 David St,2,u,580000,PI,13.8,3018,2,2,1,175,76,2013,Hobsons Bay,Western Metropolitan,5301
hockingstuart,Altona,1/28 Seves St,3,h,712000,S,13.8,3018,3,1,2,363,,,Hobsons Bay,Western Metropolitan,5301
Greg,Altona,27 McIntyre Dr,3,h,840000,SP,13.8,3018,3,2,2,534,136,1965,Hobsons Bay,Western Metropolitan,5301
Barlow,Altona,4 Boyd St,3,h,980000,S,13.8,3018,3,1,2,724,,,Hobsons Bay,Western Metropolitan,5301
hockingstuart,Altona,12 Spear Ct,3,t,605100,S,13.8,3018,3,2,0,265,,,Hobsons Bay,Western Metropolitan,5301
Barlow,Altona,185 Queen St,3,h,880000,PI,13.8,3018,3,3,1,577,,,Hobsons Bay,Western Metropolitan,5301
Williams,Altona,3/20 Mulga St,3,u,577000,S,13.8,3018,3,2,1,205,113,2007,Hobsons Bay,Western Metropolitan,5301
Barlow,Altona,51 Millers Rd,4,h,1030000,S,13.8,3018,4,1,0,797,,,Hobsons Bay,Western Metropolitan,5301
Barlow,Altona,2/119 Railway St N,3,u,605000,S,13.8,3018,3,1,2,181,,,Hobsons Bay,Western Metropolitan,5301
Barlow,Altona,24 McIntyre Dr,3,h,753000,S,13.8,3018,3,2,2,529,,,Hobsons Bay,Western Metropolitan,5301
hockingstuart,Altona,104 Maidstone St,2,h,857000,SP,13.8,3018,2,2,1,675,100,1950,Hobsons Bay,Western Metropolitan,5301
Barlow,Altona,49 Bent St,3,h,1500000,S,13.8,3018,3,1,1,929,,,Hobsons Bay,Western Metropolitan,5301
Barlow,Altona,5/57 Blyth St,3,u,730000,SP,13.8,3018,3,2,1,70,3,2014,Hobsons Bay,Western Metropolitan,5301
Sweeney,Altona,15 Kookaburra St,3,h,900000,S,13.8,3018,3,1,4,697,,,Hobsons Bay,Western Metropolitan,5301
Greg,Altona,219 Civic Pde,3,h,740000,S,13.8,3018,3,1,2,604,,,Hobsons Bay,Western Metropolitan,5301
Sweeney,Altona,3 Curtin Ct,4,h,931000,S,13.8,3018,4,2,3,532,,1970,Hobsons Bay,Western Metropolitan,5301
Compton,Altona,2/60 David St,2,h,535600,SP,13.8,3018,2,1,1,154,91,1996,Hobsons Bay,Western Metropolitan,5301
FN,Altona North,45 Hearn St,5,h,1085000,S,11.1,3025,5,3,6,592,251,1965,Hobsons Bay,Western Metropolitan,5132
Jas,Altona North,4 Knapp St,3,h,781000,S,11.1,3025,3,1,2,533,117,1970,Hobsons Bay,Western Metropolitan,5132
Jas,Altona North,21 Hatherley Gr,3,h,750000,SP,11.1,3025,3,1,3,554,,,Hobsons Bay,Western Metropolitan,5132
hockingstuart,Altona North,3/66 Marion St,2,t,421000,S,11.1,3025,2,1,1,77,77,2009,Hobsons Bay,Western Metropolitan,5132
Sweeney,Altona North,153 Mills St,3,h,1405000,S,11.1,3025,3,1,3,655,,,Hobsons Bay,Western Metropolitan,5132
FN,Altona North,33 Carthy St,3,h,683000,S,11.1,3025,3,1,2,534,167,1967,Hobsons Bay,Western Metropolitan,5132
Sweeney,Altona North,16 Harris St,3,h,623000,S,11.1,3025,3,1,3,540,,,Hobsons Bay,Western Metropolitan,5132
Greg,Altona North,1/5 Little St,3,h,720000,VB,11.1,3025,3,2,1,0,130,2012,Hobsons Bay,Western Metropolitan,5132
Williams,Altona North,1/95 Mills St,3,h,588000,S,11.1,3025,3,1,1,328,118,1970,Hobsons Bay,Western Metropolitan,5132
Village,Altona North,5 Binns St,3,h,710000,PI,11.1,3025,3,1,3,540,116,1960,Hobsons Bay,Western Metropolitan,5132
Jas,Altona North,25 Allan St,4,h,875000,SP,11.1,3025,3,1,4,559,169,1965,Hobsons Bay,Western Metropolitan,5132
Jas,Altona North,21 Hatherley Gr,3,h,700000,VB,11.1,3025,3,1,3,554,,,Hobsons Bay,Western Metropolitan,5132
Williams,Altona North,1/256 Mason St,2,t,640000,S,11.1,3025,2,1,1,252,,1965,Hobsons Bay,Western Metropolitan,5132
Williams,Altona North,21 Allan St,4,h,650000,SP,11.1,3025,4,1,4,558,,,Hobsons Bay,Western Metropolitan,5132
hockingstuart,Altona North,2/36 May St,3,h,675000,S,11.1,3025,3,2,2,171,109,2012,Hobsons Bay,Western Metropolitan,5132
Greg,Altona North,11 Beevers St,3,h,708000,S,11.1,3025,3,1,2,585,97,1960,Hobsons Bay,Western Metropolitan,5132
Gunn&Co,Altona North,10 Murphy St,4,h,965000,SP,11.1,3025,4,1,4,851,,,Hobsons Bay,Western Metropolitan,5132
Sweeney,Altona North,16 Beevers St,3,h,680000,S,11.1,3025,3,1,3,551,,,Hobsons Bay,Western Metropolitan,5132
hockingstuart,Altona North,21 Neal Ct,3,h,770000,SP,11.1,3025,3,1,3,602,603,,Hobsons Bay,Western Metropolitan,5132
